,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size, Intransit ,Intransit_Notes, Stock_CH01 , Stock_CH10 , monthly Chemical Forecast , monthly Consumption (6months) , monthly Consumption (3months) ,InHouse Stock InMonth,StockSet InHouse & Intransit,Current InHouse & Intransit, Buy To StockSet , ByTank , revised To Buy , stock included Buy , Aveage ForeCast Consumption , current Chemical Demand ,InHouse vs. curOrders,InHouse vs. oneMonth,
100,104792,RODA LAC S 214,TFL,O,COMPOUND,-,83,110, -   ,-, -   , -   ," 2,788 ", -   ,,,4.8,0, -   , -   ,,,," 1,787 ","-1,787",,
101,105310,RODA LAC S 214/N,TFL,O,COMPOUND,"EF+FISS NITRO, SIENA",83,110," 4,400 ",2023-03-27::4400.0," 5,390 ", 69 , -   ," 2,096 "," 2,329 ",4.7,4.8,8.5, -   , -   ,,," 1,164 ", -   ,"5,459","4,295",
102,104729,TRUMP FINISH 6311,ISELLO,O,COMPOUND,-,75,45, -   ,-," 1,035 ", 13 , 16 , 39 , 32 ,43.7,4.5,43.7, -   , -   ,,, 24 , 6 ,"1,042","1,024",
103,105016,SU-2960,STAHL Netherlands,O,-,-,105,100, -   ,-, -   , -   , -   , -   ,,,5.5,0, -   , -   ,,,, -   ,0,,
104,104937,MELIO AQUABASE W-MN,STAHL singapore,O,-,STUCCO BY HAND,25,70, 560 ,NaT::560.0, -   , 461 , -   , 345 , 308 ,3,2.8,6.6, -   , -   ,,, 154 , -   ,461,307,
105,104601,METALIC SILVER - NHU BAC,Vina Hào D??ng,D,COMPOUND,-,14,1, -   ,-, 3 , 2 , -   , -   ,,,2.5,0, -   , -   ,,,, -   ,5,,
106,104680,MEK-CLEANING SOLVENT,RIVERBANK,D,COMPOUND,FISS nitro,14,165, -   ,-, 495 , 456 , 142 , 259 , 199 ,5.6,2.5,5.6, -   , -   ,,, 170 , 25 ,926,781,
107,104676,MELIO PROMUL AP-39 A,Stahl Singapore,O,COMPOUND,-,25,120," 2,040 ",NaT::2040.0, -   , 919 ," 2,369 "," 1,214 "," 1,100 ",0.5,2.8,1.7," 1,907 ", 15.9 ,,," 1,734 "," 1,268 ",-349,-815,
108,104961,RODA PUR 65,TFL,O,-,xai het chuyen qua ASTACIN FINISH PUMN TF,83,1000, -   ,-," 6,000 ", -   , -   , -   ,,,4.8,0, -   , -   ,,,, -   ,"6,000",,
109,105505,ASTACIN FINISH PUMN TF,STAHL Germany,O,COMPOUND,xai het PUR 65 chuyen qua xai TF Singapore,71,120," 8,040 ",NaT::2640.0|||NaT::5400.0," 1,440 ", 403 ," 4,507 "," 2,003 "," 2,002 ",0.6,4.4,3," 4,556 ", 38.0 ,,," 3,254 "," 2,709 ",-866,"-1,411",
110,104960,RODA LINK 5504/N,TFL,O,COMPOUND,cross linker,83,10," 2,400 ",2023-02-15::900.0|||2023-03-27::1500.0," 1,970 ", 271 ," 1,241 ", 591 , 567 ,2.5,4.8,5.1, -   , -   ,,, 904 , 606 ,"1,635","1,337",
111,104675,MELIO 09-R-179,STAHL,O,-,same as Rodalink 5504,83,10, -   ,-, -   , -   , -   , -   ,,,4.8,0, -   , -   ,,,, -   ,0,,
112,105159,RETICOLANTE 05,ORCHID CHEM (NG?C LAN),D,-,-,0,10, -   ,-, -   , -   , -   , -   ,,,2,0, -   , -   ,,,, -   ,0,,
